id,title,key
0,【HCI】Vmware安装disksafe的虚拟机迁移HCI后优化调整,迁移	管理工具	供应商	安装	描述	调整	方法	操作系统	驱动	确认
1,【HCI】监控Oracle报错：The Network Adapter could not establish the connection,监控	数据库	错误	对象	时报	原因	中心	信息	获取	报错
2,【HCI】vxlan大数据包不通的抓包方法,数据包	已经	体检	不通	一键	调整	方法	交换机	开启	反馈
3,【aCloud】vmware虚拟机迁移到acloud平台过程被自动关闭电源，导致迁移失败,关闭电源	迁移	有时候	过程	自动	规律	虚拟	机关	机会	纳管
4,【aCloud】迁移虚拟机提示运行位置主机(x.x.x.x)无法连接到当前系统的10809端口,迁移	运行	端口	位置	系统	无法	确定	连接	目的	融合
5,【HCI】安装超融合时出现堆栈memcpy+,堆栈	安装	出现	融合	失败	c盘	现已	环境变量	环境模拟	环境设备
6,【HCI】删除存储提示存储被占用，无法删除,删除	占用	无法	提示	c盘	现成	环境变量	环境模拟	环境设备	环路
7,【aCloud】linux LVM分区进入救援模式无法挂载,分区	救援	挂载	进入	常规	模式	方法	使用	无法	启动
8,【SASE】上网卡慢,上网卡	上架	c盘	现成	环回口	环境	环境变量	环境模拟	环境设备	环路
9,【HCI】安装超融合提示退出安装程序,安装程序	退出	解压	原因	融合	安装	失败	提示	c盘	现成
10,【aCloud】stty erase解决按backspace出现^H,字符	删除	输错	删掉	环境变量	习惯性	想要	解决	参数	使用
11,【HCI】windows 2012R2系统漏洞导致虚拟机蓝屏异常重启,系统漏洞	重启	异常	导致	现已	玩转	环回口	环境	环境变量	环境模拟
12,【HCI】监控中心通过WMI监控虚拟机问题排查,监控	碰到	内存	排查	中心	信息	获取	问题	客户	无法
13,【aCloud】安装虚拟机性能优化失败,性能	优化	安装	步骤	执行	工具	操作	提示	文件	需要
14,【HCI】新测试超融合一体机-授权序列号开通—指导文档,序列号	测试	授权	集群	登记	设备	指导	开通	技术支持	一体机
15,【aCloud】升级到590及之后版本提示未配置数据通信口IP,数据通信	版本	版本升级	配置	提示	升级	c盘	现已	环境变量	环境模拟
16,【HCI】server2012R2添加3D显卡装好驱动后，看不到桌面,显卡	驱动	看不到	桌面	操作	添加	蓝色	快照	背景	显示
17,【HCI】VMware异构版本支持问题,异构	支持	问题	版本	c盘	现场	环回口	环境	环境变量	环境模拟
18,【HCI】浪潮BMC更新及调用深信服散热策略的方法,散热	浪潮	信服	调用	方法	更新	策略	c盘	现已	环境变量
19,【aCloud】acloud5.9.0版本开始管理口切换后管理网络不通,管理	切换	地址	更改	管理网络	不通	准备	清掉	版本	覆盖
20,【aCloud】自动部署RAC报错ORA-00401,部署	自动	操作系统	发生	脚本	数据库	环境	版本	错误	报错
21,【aCloud】主机存储利用率过高导致数据重建卡死,重建	数据	任务	触发	同步	一直	进度	利用率	等待	小时
22,【aCloud】P2V迁移提示无本地磁盘,迁移	磁盘	排查	提示	c盘	率为	玩转	环回口	环境	环境变量
23,SANGFOR_aCloud_NFV排查文档,排查	文档	c盘	现成	环境	环境变量	环境模拟	环境设备	环路	现场
24,【HCI】监控中心通过SSH获取不到linux虚拟机信息,监控	中心	信息	获取	前台	凭证	纳管	内存	编辑	反馈
25,虚拟存储一句话知识点,知识点	虚拟存储	c盘	现场	环回口	环境	环境变量	环境模拟	环境设备	环路
26,【aCloud】自动部署脚本安装报错【FATAL】【INS-30132】,脚本	部署	自动	时报	安装	错误	报错	使用	环境	环境变量
27,【aCloud】ubuntu系统虚拟机控制台键盘布局混乱,混乱	布局	键盘	字母	双引号	按键	打不	系统	控制台	不准
28,【HCI】浏览器问题导致vAD 708R1 授权不生效,授权	系统管理	模板	创建	看不到	导入	浏览器	问题	版本	控制台
29,【HCI】P2V迁移物理机，软件提示获取存储的大小有误,有误	物理	迁移	软件	获取	步骤	位置	检查	提示	现放通
30,【HCI】从583系列版本升级到601版本报错,升级	私网	版本升级	重试	过程	恢复	网络	版本	异常	报错
31,开机流程中故障现象,流程	现象	故障	开机	c盘	现已	环回口	环境	环境变量	环境模拟
32,【aCloud】aCMP向2主机vs集群分发镜像失败,集群	镜像	机组	上传	手工	纳管	分发	模板	失败	编辑
33,【HCI】Windows虚拟机开机失败，代码0003,开机	代码	启动	界面	失败	现成	环境	环境变量	环境模拟	环境设备
34,【HCI】acloud API接口资料截止20200605,接口	资料	截止	二次开发	进行	获取	数据	客户	c盘	环回口
35,【HCI】主机异常断电之后，重启之后卡在启动或者有报错界面,断电	重启	启动	界面	异常	报错	理想	班级	瓶颈	环境变量
36,【aCloud】平台升级6.0.0R3完成，等待主机重启后集群IP不通,集群	等待	完成	重启	平台	通且	不通	升级	控制台	登录
37,【aCloud】进入救援模式chroot失败,进入	救援	模式	找到	下图	操作系统	失败	无法	反馈	文件
